path,label,bpm,mfccs,chroma_stft,mel_spectogram,amplitude,rms,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast
/content/drive/MyDrive/thesis/audio/A111.mp3,3,123.046875,-2.3001010417938232,0.3459097146987915,4.50584077835083,-23.479286193847656,0.13118994235992432,0.029530588077414113,1309.1287677603614,1805.2566405652406,2303.772822728064,25.001705653739585
/content/drive/MyDrive/thesis/audio/A119.mp3,3,123.046875,-3.367506504058838,0.3516031503677368,1.8778736591339111,-26.677555084228516,0.08000147342681885,0.027051551981778086,1699.3655030657997,2585.3313184967506,3201.579433430536,23.02821792510263
/content/drive/MyDrive/thesis/audio/A120.mp3,3,123.046875,-1.1710516214370728,0.3718152642250061,1.8097434043884277,-27.87598991394043,0.08767159283161163,0.022690116861072425,1067.4502313426915,1521.575856096704,1952.7536206258706,25.75120316955732
/content/drive/MyDrive/thesis/audio/A134.mp3,3,151.99908088235293,-0.018790150061249733,0.437295138835907,7.593334197998047,-24.499069213867188,0.18561652302742004,0.019598122316039926,856.3390356622307,1219.6513315199343,1662.6251985767758,25.385875550876627
/content/drive/MyDrive/thesis/audio/A137.mp3,3,107.666015625,-2.3159561157226562,0.39585888385772705,0.9171083569526672,-32.0270881652832,0.05748558044433594,0.02189852998781337,894.1126361576704,1128.2385254044666,1877.5473592009052,22.618039621591066
/content/drive/MyDrive/thesis/audio/A141.mp3,3,126.04801829268293,0.8746024966239929,0.45988786220550537,5.013647079467773,-21.760019302368164,0.1560104787349701,0.031415253960654595,1561.1627956210289,2257.6533640459,3129.882064436804,22.49014801661127
/content/drive/MyDrive/thesis/audio/A145.mp3,3,101.33272058823529,0.5936950445175171,0.34776270389556885,3.145066261291504,-21.834575653076172,0.119115449488163,0.04038067802634633,1924.1725296055445,2580.8722532745905,3911.765265929666,23.060384546837827
/content/drive/MyDrive/thesis/audio/A001.mp3,3,109.95678191489361,-2.7453815937042236,0.34144067764282227,1.4676721096038818,-25.095834732055664,0.08570011705160141,0.05421486007137883,2042.13409510652,2378.0193399900627,4147.640812695857,24.169618572978134
/content/drive/MyDrive/thesis/audio/A002.mp3,3,135.99917763157896,-2.1562561988830566,0.39359360933303833,2.878232955932617,-22.825538635253906,0.11666885018348694,0.040366623505687094,1900.3587297097927,2335.7683093871215,4055.090026005397,23.953440618179677
/content/drive/MyDrive/thesis/audio/A017.mp3,3,139.6748310810811,-2.815190076828003,0.4030790627002716,1.0512195825576782,-27.007640838623047,0.0698430985212326,0.043667864034825275,1589.2358050707703,1737.2638791455777,3436.056005789253,24.647876181208247
/content/drive/MyDrive/thesis/audio/A021.mp3,3,120.18531976744185,-0.07610611617565155,0.5090551376342773,1.2481770515441895,-24.54391098022461,0.07348180562257767,0.03588209798630455,1735.0886104313536,2325.574958944871,3747.6570660689417,24.570155254223856
/content/drive/MyDrive/thesis/audio/A030.mp3,3,117.45383522727273,-2.569061517715454,0.37622931599617004,1.483553409576416,-27.544422149658203,0.0777171179652214,0.030609159195102136,1378.1260447016894,1751.101658228388,2693.8396995778203,25.68970866818616
/content/drive/MyDrive/thesis/audio/A032.mp3,3,126.04801829268293,-4.362864971160889,0.3033505380153656,0.32488664984703064,-34.26873016357422,0.036564331501722336,0.02714857351149025,1232.56710121616,2032.6711940906303,1799.3420444159124,23.82345272578028
/content/drive/MyDrive/thesis/audio/A058.mp3,3,123.046875,-4.856553554534912,0.33784493803977966,1.6239757537841797,-29.04086685180664,0.0814642682671547,0.03294991694231662,1141.6124769500432,1235.4196472738747,2013.4344669437673,24.281585615826188
/content/drive/MyDrive/thesis/audio/A063.mp3,3,123.046875,-0.8384441137313843,0.47802531719207764,5.0307393074035645,-24.808927536010742,0.14217524230480194,0.020584658991991644,899.5742536956515,1257.515292402407,1693.7253819202647,20.621783216209995
/content/drive/MyDrive/thesis/audio/A066.mp3,3,129.19921875,-2.7507107257843018,0.37540075182914734,2.189861297607422,-26.913793563842773,0.09673914313316345,0.02211954865947075,1213.2200186503555,1901.6632207758419,2237.723670895717,26.544380711323615
/content/drive/MyDrive/thesis/audio/A067.mp3,3,117.45383522727273,0.07442393153905869,0.3956839144229889,3.6533799171447754,-24.897737503051758,0.12369508296251297,0.032146542406569174,1371.823049509835,1843.6624008486497,2636.877679426358,22.668435427798023
/content/drive/MyDrive/thesis/audio/A078.mp3,3,117.45383522727273,-0.4545888900756836,0.38441982865333557,1.794946312904358,-26.400959014892578,0.09256725758314133,0.026762300879178275,1267.5340883464569,1854.7627422992373,2364.503653268628,23.763941724365313
/content/drive/MyDrive/thesis/audio/A088.mp3,3,129.19921875,0.13097324967384338,0.4623381495475769,2.164806365966797,-21.461156845092773,0.09767697006464005,0.03836476105501393,2408.8721883083954,3155.930537655147,5407.563122932625,22.02155323510068
/content/drive/MyDrive/thesis/audio/A098.mp3,3,123.046875,-2.4696643352508545,0.4371394217014313,5.010499000549316,-23.202775955200195,0.15585312247276306,0.0231641169045961,1214.0088164762697,2067.0854724978467,2125.709027898677,23.090566810053122
/content/drive/MyDrive/thesis/audio/A109.mp3,3,112.34714673913044,0.04454202577471733,0.4639786183834076,3.05096435546875,-22.2646484375,0.10430565476417542,0.028417334029712162,1748.6669831565637,2671.090048475289,3567.164038017932,22.02404504424555
/content/drive/MyDrive/thesis/audio/A165.mp3,3,123.046875,-0.2587009370326996,0.4625846743583679,1.6899734735488892,-30.527366638183594,0.09112279117107391,0.023874096883704735,1067.9324046310965,1763.2432550976678,1983.3639585872215,25.07377154088299
