path,label,bpm,mfccs,rms,zcr,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mel_spectogram,amplitude
/content/drive/MyDrive/thesis/audio/A111.mp3,3,123.046875,172.20944213867188,0.4251975417137146,0.3427734375,1.0,6801.083185838443,3820.1723240319566,9754.541015625,77.66119534494601,2701.8310546875,48.97412109375
/content/drive/MyDrive/thesis/audio/A119.mp3,3,123.046875,159.55979919433594,0.20162083208560944,0.28515625,1.0,7178.092809998599,5028.1499948154915,11778.662109375,64.30244486220856,633.027099609375,42.566009521484375
/content/drive/MyDrive/thesis/audio/A120.mp3,3,123.046875,198.05764770507812,0.22526609897613525,0.2353515625,1.0,5549.11719500098,3950.7985478217056,9431.54296875,79.73047639988741,935.9468994140625,44.086605072021484
/content/drive/MyDrive/thesis/audio/A134.mp3,3,151.99908088235293,190.0016326904297,0.4401482939720154,0.1318359375,1.0,3845.885429623069,3820.6526384806402,7192.08984375,74.67150978219748,2644.308837890625,48.881858825683594
/content/drive/MyDrive/thesis/audio/A137.mp3,3,107.666015625,199.2257843017578,0.21656227111816406,0.07763671875,1.0,1966.210433216458,1995.4194327366079,4694.23828125,59.21182414006504,640.27392578125,41.861289978027344
/content/drive/MyDrive/thesis/audio/A141.mp3,3,126.04801829268293,168.85433959960938,0.41993534564971924,0.37255859375,1.0,7254.813709684378,3922.5751155313837,9991.40625,77.15374488469075,2154.10107421875,47.35177993774414
/content/drive/MyDrive/thesis/audio/A145.mp3,3,101.33272058823529,153.75338745117188,0.33760690689086914,0.27490234375,1.0,6506.645251071688,5045.475916120883,11778.662109375,63.885272525557355,2072.86376953125,47.39097213745117
/content/drive/MyDrive/thesis/audio/A001.mp3,3,109.95678191489361,186.1779022216797,0.20313231647014618,0.27392578125,1.0,5858.526244572239,3974.35149515218,9840.673828125,81.23726132845991,402.133544921875,40.79197692871094
/content/drive/MyDrive/thesis/audio/A002.mp3,3,135.99917763157896,180.43592834472656,0.28481706976890564,0.3193359375,1.0,6548.550638224012,3795.8319913637242,9582.275390625,78.05118441075385,815.8104248046875,43.54151916503906
/content/drive/MyDrive/thesis/audio/A017.mp3,3,139.6748310810811,185.7311248779297,0.22922971844673157,0.2119140625,1.0,4667.0972300109115,3209.4994156032167,7342.822265625,77.61872760403267,869.8773803710938,43.809600830078125
/content/drive/MyDrive/thesis/audio/A021.mp3,3,120.18531976744185,162.7648162841797,0.2694493234157562,0.17626953125,1.0,5284.346937425152,4228.0416011079205,9517.67578125,74.91588265759518,1554.3665771484375,46.08363723754883
/content/drive/MyDrive/thesis/audio/A030.mp3,3,117.45383522727273,182.44650268554688,0.25039154291152954,0.17041015625,1.0,4508.859184156824,3523.341719609758,8527.1484375,71.1279059487104,901.20703125,43.65711975097656
/content/drive/MyDrive/thesis/audio/A032.mp3,3,126.04801829268293,191.4710693359375,0.11115871369838715,0.09033203125,1.0,3545.0651910250513,4487.514091875887,9194.677734375,61.41067537804949,165.45640563964844,38.023956298828125
/content/drive/MyDrive/thesis/audio/A058.mp3,3,123.046875,211.54537963867188,0.22694990038871765,0.13232421875,1.0,3067.288192566959,2784.2186938606974,5813.96484375,69.38308849454063,536.3534545898438,43.29188919067383
/content/drive/MyDrive/thesis/audio/A063.mp3,3,123.046875,193.76686096191406,0.4366779327392578,0.21435546875,1.0,5074.981683042675,3992.5111814064126,8290.283203125,62.36235810477481,2682.591552734375,48.60747528076172
/content/drive/MyDrive/thesis/audio/A066.mp3,3,129.19921875,185.26377868652344,0.2570875585079193,0.20751953125,1.0,5147.215481542683,3861.2762257672175,8850.146484375,80.32731335111242,1016.3588256835938,44.41893768310547
/content/drive/MyDrive/thesis/audio/A067.mp3,3,117.45383522727273,189.69268798828125,0.32493725419044495,0.23486328125,1.0,5548.93452038246,4752.859625816422,9280.810546875,65.08734785560176,1169.6580810546875,44.9950065612793
/content/drive/MyDrive/thesis/audio/A078.mp3,3,117.45383522727273,206.11807250976562,0.19777294993400574,0.125,1.0,3441.711616453147,3840.8667926658995,7773.486328125,74.77762542399117,546.6915893554688,42.36538314819336
/content/drive/MyDrive/thesis/audio/A088.mp3,3,129.19921875,132.30459594726562,0.26170969009399414,0.3212890625,1.0,7286.175890859287,4979.837265891062,12101.66015625,66.48870915715437,1139.7686767578125,44.95232009887695
/content/drive/MyDrive/thesis/audio/A098.mp3,3,123.046875,190.38803100585938,0.26031774282455444,0.0546875,1.0,3486.135057601672,3947.5829342547363,8397.94921875,60.68737116374401,1011.2651977539062,44.84092330932617
/content/drive/MyDrive/thesis/audio/A109.mp3,3,112.34714673913044,149.84072875976562,0.3765343129634857,0.35986328125,1.0,7757.874042888734,4854.959990639649,11972.4609375,63.40290471285725,2612.134521484375,48.626007080078125
/content/drive/MyDrive/thesis/audio/A165.mp3,3,123.046875,204.00477600097656,0.15836845338344574,0.08447265625,1.0,3121.9145406088865,5056.596202870028,9130.078125,61.66158605214261,280.47576904296875,39.275306701660156
/content/drive/MyDrive/thesis/audio/A168.mp3,3,117.45383522727273,182.52679443359375,0.05986456945538521,0.244140625,1.0,5247.413226485766,3854.6464246291935,9043.9453125,64.86574975229821,42.0102653503418,30.813034057617188
/content/drive/MyDrive/thesis/audio/A178.mp3,3,107.666015625,151.69326782226562,0.10361398756504059,0.16455078125,1.0,6993.130562770317,5055.550000839855,12037.060546875,63.305527199674756,112.28079986572266,35.559078216552734
