path,label,bpm,mfccs,chroma_stft,mel_spectogram,amplitude
/content/drive/MyDrive/thesis/audio/A111.mp3,3,123.046875,-2.3001010417938232,0.3459097146987915,4.50584077835083,48.97412109375
/content/drive/MyDrive/thesis/audio/A119.mp3,3,123.046875,-3.367506504058838,0.3516031503677368,1.8778736591339111,42.566009521484375
/content/drive/MyDrive/thesis/audio/A120.mp3,3,123.046875,-1.1710516214370728,0.3718152642250061,1.8097434043884277,44.086605072021484
/content/drive/MyDrive/thesis/audio/A134.mp3,3,151.99908088235293,-0.018790150061249733,0.437295138835907,7.593334197998047,48.881858825683594
/content/drive/MyDrive/thesis/audio/A137.mp3,3,107.666015625,-2.3159561157226562,0.39585888385772705,0.9171083569526672,41.861289978027344
/content/drive/MyDrive/thesis/audio/A141.mp3,3,126.04801829268293,0.8746024966239929,0.45988786220550537,5.013647079467773,47.35177993774414
/content/drive/MyDrive/thesis/audio/A145.mp3,3,101.33272058823529,0.5936950445175171,0.34776270389556885,3.145066261291504,47.39097213745117
/content/drive/MyDrive/thesis/audio/A001.mp3,3,109.95678191489361,-2.7453815937042236,0.34144067764282227,1.4676721096038818,40.79197692871094
/content/drive/MyDrive/thesis/audio/A002.mp3,3,135.99917763157896,-2.1562561988830566,0.39359360933303833,2.878232955932617,43.54151916503906
/content/drive/MyDrive/thesis/audio/A017.mp3,3,139.6748310810811,-2.815190076828003,0.4030790627002716,1.0512195825576782,43.809600830078125
/content/drive/MyDrive/thesis/audio/A021.mp3,3,120.18531976744185,-0.07610611617565155,0.5090551376342773,1.2481770515441895,46.08363723754883
/content/drive/MyDrive/thesis/audio/A030.mp3,3,117.45383522727273,-2.569061517715454,0.37622931599617004,1.483553409576416,43.65711975097656
/content/drive/MyDrive/thesis/audio/A032.mp3,3,126.04801829268293,-4.362864971160889,0.3033505380153656,0.32488664984703064,38.023956298828125
/content/drive/MyDrive/thesis/audio/A058.mp3,3,123.046875,-4.856553554534912,0.33784493803977966,1.6239757537841797,43.29188919067383
/content/drive/MyDrive/thesis/audio/A063.mp3,3,123.046875,-0.8384441137313843,0.47802531719207764,5.0307393074035645,48.60747528076172
/content/drive/MyDrive/thesis/audio/A066.mp3,3,129.19921875,-2.7507107257843018,0.37540075182914734,2.189861297607422,44.41893768310547
/content/drive/MyDrive/thesis/audio/A067.mp3,3,117.45383522727273,0.07442393153905869,0.3956839144229889,3.6533799171447754,44.9950065612793
/content/drive/MyDrive/thesis/audio/A078.mp3,3,117.45383522727273,-0.4545888900756836,0.38441982865333557,1.794946312904358,42.36538314819336
/content/drive/MyDrive/thesis/audio/A088.mp3,3,129.19921875,0.13097324967384338,0.4623381495475769,2.164806365966797,44.95232009887695
/content/drive/MyDrive/thesis/audio/A098.mp3,3,123.046875,-2.4696643352508545,0.4371394217014313,5.010499000549316,44.84092330932617
/content/drive/MyDrive/thesis/audio/A109.mp3,3,112.34714673913044,0.04454202577471733,0.4639786183834076,3.05096435546875,48.626007080078125
/content/drive/MyDrive/thesis/audio/A165.mp3,3,123.046875,-0.2587009370326996,0.4625846743583679,1.6899734735488892,39.275306701660156
/content/drive/MyDrive/thesis/audio/A168.mp3,3,117.45383522727273,-3.75166392326355,0.42261165380477905,0.12037543952465057,30.813034057617188
/content/drive/MyDrive/thesis/audio/A178.mp3,3,107.666015625,-5.013759136199951,0.4691644310951233,0.28518351912498474,35.559078216552734
/content/drive/MyDrive/thesis/audio/A179.mp3,3,114.84375,-1.2622246742248535,0.29687267541885376,4.600042343139648,46.347103118896484
/content/drive/MyDrive/thesis/audio/A186.mp3,3,129.19921875,-0.882027268409729,0.29555124044418335,1.6964927911758423,41.626468658447266
/content/drive/MyDrive/thesis/audio/A190.mp3,3,112.34714673913044,-4.0157999992370605,0.322129487991333,4.981013298034668,46.52248764038086
/content/drive/MyDrive/thesis/audio/A192.mp3,3,126.04801829268293,-2.4323084354400635,0.5049881935119629,1.4055794477462769,41.23109817504883
/content/drive/MyDrive/thesis/audio/A198.mp3,3,123.046875,-3.2440133094787598,0.3729017972946167,0.7334626317024231,36.35492706298828
/content/drive/MyDrive/thesis/audio/A117.mp3,2,114.84375,0.7209654450416565,0.4314362704753876,3.2931106090545654,45.31173324584961
/content/drive/MyDrive/thesis/audio/A126.mp3,2,117.45383522727273,-7.395576477050781,0.3515591621398926,0.07850199192762375,32.618011474609375
/content/drive/MyDrive/thesis/audio/A130.mp3,2,143.5546875,-0.9874895811080933,0.5189478993415833,1.9645475149154663,42.85085678100586
/content/drive/MyDrive/thesis/audio/A143.mp3,2,109.95678191489361,-6.001561164855957,0.2541064918041229,1.9722249507904053,43.607460021972656
/content/drive/MyDrive/thesis/audio/A157.mp3,2,132.51201923076923,-5.249438285827637,0.3326804041862488,1.5241997241973877,40.56793212890625
/content/drive/MyDrive/thesis/audio/A003.mp3,2,112.34714673913044,-2.968414783477783,0.4473714530467987,0.6520972847938538,37.716060638427734
/content/drive/MyDrive/thesis/audio/A004.mp3,2,101.33272058823529,-3.2955162525177,0.3835694491863251,1.2027846574783325,38.935447692871094
/content/drive/MyDrive/thesis/audio/A018.mp3,2,120.18531976744185,-2.807100296020508,0.2912120223045349,4.816690444946289,45.20600891113281
/content/drive/MyDrive/thesis/audio/A029.mp3,2,161.4990234375,-0.6512373685836792,0.4674874246120453,1.8698638677597046,41.3292121887207
/content/drive/MyDrive/thesis/audio/A034.mp3,2,114.84375,1.603115439414978,0.5091455578804016,7.643808364868164,47.20895767211914
